I0901 16:25:12.625727 139770863273792 __init__.py:409] $HOME=/home/erdos
I0901 16:25:12.626544 139770863273792 __init__.py:409] matplotlib data path /home/erdos/.local/lib/python3.6/site-packages/matplotlib/mpl-data
I0901 16:25:12.633069 139770863273792 __init__.py:1156] loaded rc file /home/erdos/.local/lib/python3.6/site-packages/matplotlib/mpl-data/matplotlibrc
I0901 16:25:12.634103 139770863273792 __init__.py:1879] matplotlib version 2.2.4
I0901 16:25:12.634158 139770863273792 __init__.py:1880] interactive is False
I0901 16:25:12.634415 139770863273792 __init__.py:1881] platform is linux
